Date,CreateTime,Adjused Sentiment,Symbol
3/28/2017,14:21:52,0.804961811,TSLA
3/28/2017,14:21:53,0.926739039,AAPL
3/28/2017,14:22:03,0.841109384,AAPL
3/28/2017,14:22:03,0.944563841,AAPL
3/28/2017,14:22:10,0.875844953,FB
3/28/2017,14:22:25,0.113074408,TSLA
3/28/2017,14:22:44,0.169986698,TSLA
3/28/2017,14:22:53,0.951145213,FB
3/28/2017,14:22:55,0.755034587,FB
3/28/2017,14:23:28,0.815612003,TSLA
3/28/2017,14:23:34,0.892705423,AAPL
3/28/2017,14:23:37,0.867241029,FB
3/28/2017,14:23:49,0.048939136,TSLA
3/28/2017,14:24:39,0.975570796,AAPL
3/28/2017,14:24:42,-0.906255073,TSLA
3/28/2017,14:24:50,0.923553906,TSLA
3/28/2017,14:24:55,0.817940672,FB
3/28/2017,14:25:06,0.110444496,FB
3/28/2017,14:25:22,0.967491399,FB
3/28/2017,14:25:23,0.973832315,TSLA
3/28/2017,14:25:31,0.910533614,AAPL
3/28/2017,14:25:35,0.830425428,AAPL
3/28/2017,14:25:37,0.747633999,TSLA
3/28/2017,14:25:51,-0.758393793,FB
3/28/2017,14:25:57,0.714706462,TSLA
3/28/2017,14:26:20,0.865943669,FB
3/28/2017,14:26:37,0.864136044,FB
3/28/2017,14:27:06,0.767012125,TSLA
3/28/2017,14:27:25,0.977010231,TSLA
3/28/2017,14:28:12,0.105852283,TSLA
3/28/2017,14:28:42,0.897897483,TSLA
3/28/2017,14:28:45,0.022735786,TSLA
3/28/2017,14:29:03,0.887840235,TSLA
3/28/2017,14:29:15,0.164585311,AAPL
3/28/2017,14:29:23,0.995326763,AAPL
3/28/2017,14:29:38,0.959479078,AAPL
3/28/2017,14:29:59,0.948614902,TSLA
3/28/2017,14:30:28,0.794665349,TSLA
3/28/2017,14:30:48,0.977918868,TSLA
3/28/2017,14:30:48,0.912039904,TSLA
3/28/2017,14:31:30,0.937122895,TSLA
3/28/2017,14:32:03,0.968956568,AAPL
3/28/2017,14:32:03,0.932866924,TSLA
3/28/2017,14:32:04,0.158786835,AAPL
3/28/2017,14:32:05,-0.741078894,FB
3/28/2017,14:32:17,0.746044805,TSLA
3/28/2017,14:32:22,0.892177216,AAPL
3/28/2017,14:32:32,0.726990106,FB
3/28/2017,14:32:42,-0.022895564,TSLA
3/28/2017,14:33:05,0.933142329,TSLA
3/28/2017,14:33:29,0.788208048,AAPL
3/28/2017,14:33:58,0.71130127,TSLA
3/28/2017,14:34:01,-0.722629152,FB
3/28/2017,14:34:24,0.831489101,TSLA
3/28/2017,14:34:52,0.750919638,TSLA
3/28/2017,14:35:14,0.808486047,TSLA
3/28/2017,14:35:17,0.985212744,AAPL
3/28/2017,14:36:01,-0.974071499,FB
3/28/2017,14:36:23,-0.73610089,TSLA
3/28/2017,14:36:23,0.797745946,AAPL
3/28/2017,14:36:50,0.022112528,TSLA
3/28/2017,14:36:56,0.739027635,AAPL
3/28/2017,14:37:03,0.936672939,FB
3/28/2017,14:37:11,0.797745946,AAPL
3/28/2017,14:37:20,0.19941421,FB
3/28/2017,14:38:05,0.93008964,AAPL
3/28/2017,14:38:13,-0.884339722,FB
3/28/2017,14:38:43,0.780457597,AAPL
3/28/2017,14:39:01,0.754278758,AAPL
3/28/2017,14:39:08,0.164585311,AAPL
3/28/2017,14:39:08,-0.157634984,FB
3/28/2017,14:39:32,0.714056005,FB
3/28/2017,14:39:53,0.941275803,AAPL
3/28/2017,14:40:05,-0.888887424,TSLA
3/28/2017,14:40:10,0.715752716,AAPL
3/28/2017,14:40:25,0.888604219,AAPL
3/28/2017,14:40:25,0.734947903,TSLA
3/28/2017,14:41:21,0.98599621,AAPL
3/28/2017,14:42:09,0.819852889,AAPL
3/28/2017,14:42:11,0.917052049,AAPL
3/28/2017,14:42:27,0.700619032,AAPL
3/28/2017,14:42:31,0.995335441,AAPL
3/28/2017,14:42:45,0.867731378,FB
3/28/2017,14:42:51,0.971109251,TSLA
3/28/2017,14:43:13,0.967935386,AAPL
3/28/2017,14:43:20,0.719995015,AAPL
3/28/2017,14:43:20,0.80989845,TSLA
3/28/2017,14:43:22,0.959689176,AAPL
3/28/2017,14:43:49,0.784767145,AAPL
3/28/2017,14:44:06,0.902590667,AAPL
3/28/2017,14:44:08,-0.801173238,AAPL
3/28/2017,14:44:12,-0.789112909,TSLA
3/28/2017,14:44:38,0.87160876,AAPL
3/28/2017,14:44:55,0.024471112,AAPL
3/28/2017,14:45:46,-0.022214651,TSLA
3/28/2017,14:45:51,-0.02781584,TSLA
3/28/2017,14:45:57,0.93606001,AAPL
3/28/2017,14:46:04,0.8298691,FB
3/28/2017,14:46:29,0.853623453,AAPL
3/28/2017,14:46:46,0.933419966,TSLA
3/28/2017,14:47:21,-0.029053775,TSLA
3/28/2017,14:47:34,-0.787219766,AAPL
3/28/2017,14:47:56,0.70660754,TSLA
3/28/2017,14:47:57,0.953163727,AAPL
3/28/2017,14:48:06,0.97175185,AAPL
3/28/2017,14:48:22,0.074233674,TSLA
3/28/2017,14:48:50,0.944916255,AAPL
3/28/2017,14:48:59,0.771648093,TSLA
3/28/2017,14:49:13,0.9987609,AAPL
3/28/2017,14:49:46,0.103588397,FB
3/28/2017,14:49:59,0.854254388,FB
3/28/2017,14:50:03,0.844600961,TSLA
3/28/2017,14:50:06,0.993997716,AAPL
3/28/2017,14:50:20,0.827440548,TSLA
3/28/2017,14:51:14,0.729441653,FB
3/28/2017,14:51:22,0.722552989,AAPL
3/28/2017,14:51:47,0.905184476,TSLA
3/28/2017,14:52:18,-0.978995293,TSLA
3/28/2017,14:52:24,0.984964019,AAPL
3/28/2017,14:52:28,0.922638509,TSLA
3/28/2017,14:52:39,0.917815881,AAPL
3/28/2017,14:53:17,0.841926355,AAPL
3/28/2017,14:53:27,0.193318253,FB
3/28/2017,14:55:15,0.726990106,FB
3/28/2017,14:55:33,0.860737223,AAPL
3/28/2017,14:55:55,0.714186436,TSLA
3/28/2017,14:56:05,-0.075068012,FB
3/28/2017,14:56:33,0.870446272,AAPL
3/28/2017,14:56:50,-0.012745685,AAPL
3/28/2017,14:57:16,-0.199674301,FB
3/28/2017,14:57:21,0.855822704,AAPL
3/28/2017,14:57:45,0.822877188,AAPL
3/28/2017,14:57:50,0.151730032,TSLA
3/28/2017,14:58:08,0.993089024,AAPL
3/28/2017,14:58:13,0.819393151,AAPL
3/28/2017,14:58:45,0.82338679,AAPL
3/28/2017,14:58:51,0.045119621,TSLA
3/28/2017,14:58:57,0.947321705,TSLA
3/28/2017,14:59:16,0.715839488,AAPL
3/28/2017,14:59:22,0.963935312,AAPL
3/28/2017,14:59:45,-0.021371576,AAPL
3/28/2017,15:00:12,0.099158356,TSLA
3/28/2017,15:00:13,0.94588905,AAPL
3/28/2017,15:00:47,0.85124237,AAPL
3/28/2017,15:00:59,-0.795285264,FB
3/28/2017,15:01:05,0.892438684,AAPL
3/28/2017,15:01:07,0.927030838,AAPL
3/28/2017,15:01:08,0.96458069,AAPL
3/28/2017,15:01:25,0.970903348,TSLA
3/28/2017,15:01:30,0.820080296,FB
3/28/2017,15:01:32,0.151730032,TSLA
3/28/2017,15:01:34,0.053087944,FB
3/28/2017,15:01:52,0.880449146,AAPL
3/28/2017,15:02:00,0.846226192,AAPL
3/28/2017,15:02:12,0.911210252,AAPL
3/28/2017,15:02:16,-0.125265809,AAPL
3/28/2017,15:03:02,0.158687523,TSLA
3/28/2017,15:03:03,0.780289292,AAPL
3/28/2017,15:03:14,0.916987745,AAPL
3/28/2017,15:03:27,0.892169274,TSLA
3/28/2017,15:03:41,0.913748203,AAPL
3/28/2017,15:04:19,0.895185293,TSLA
3/28/2017,15:04:25,0.908702061,AAPL
3/28/2017,15:04:36,0.048998488,AAPL
3/28/2017,15:04:53,-0.929300872,FB
3/28/2017,15:04:59,-0.999999745,AAPL
3/28/2017,15:05:07,0.877240879,AAPL
3/28/2017,15:05:09,0.151730032,TSLA
3/28/2017,15:05:13,0.989781512,AAPL
3/28/2017,15:05:18,-0.796876872,TSLA
3/28/2017,15:05:42,-0.79899211,TSLA
3/28/2017,15:05:50,0.797745946,AAPL
3/28/2017,15:05:50,-0.058368465,TSLA
3/28/2017,15:05:59,0.987706689,AAPL
3/28/2017,15:06:08,0.922469464,AAPL
3/28/2017,15:06:12,0.898284992,AAPL
3/28/2017,15:06:23,0.835455144,FB
3/28/2017,15:06:25,0.086924197,TSLA
3/28/2017,15:06:25,0.97444062,TSLA
3/28/2017,15:06:42,-0.057730722,AAPL
3/28/2017,15:06:44,0.900748824,AAPL
3/28/2017,15:06:48,0.855828889,FB
3/28/2017,15:07:38,0.912591487,FB
3/28/2017,15:07:58,0.026121458,AAPL
3/28/2017,15:08:12,0.199103454,TSLA
3/28/2017,15:08:13,0.704729743,AAPL
3/28/2017,15:08:18,0.926042699,AAPL
3/28/2017,15:08:39,0.973971681,AAPL
3/28/2017,15:08:43,0.980145678,AAPL
3/28/2017,15:08:48,0.980061314,AAPL
3/28/2017,15:08:51,0.815721185,TSLA
3/28/2017,15:08:53,0.884743594,FB
3/28/2017,15:09:02,0.942112399,TSLA
3/28/2017,15:09:33,0.775453257,AAPL
3/28/2017,15:09:33,0.799822942,TSLA
3/28/2017,15:09:35,0.846747472,AAPL
3/28/2017,15:09:48,-0.982142764,TSLA
3/28/2017,15:10:00,0.981706695,TSLA
3/28/2017,15:10:23,0.919412388,AAPL
3/28/2017,15:10:23,0.998662274,FB
3/28/2017,15:10:25,0.877626831,AAPL
3/28/2017,15:10:32,0.993182945,AAPL
3/28/2017,15:10:45,-0.716321135,FB
3/28/2017,15:10:47,0.993651046,AAPL
3/28/2017,15:11:07,0.893284979,AAPL
3/28/2017,15:11:09,0.901652966,AAPL
3/28/2017,15:11:43,0.895551871,AAPL
3/28/2017,15:12:03,0.797745946,AAPL
3/28/2017,15:12:14,0.968348083,AAPL
3/28/2017,15:12:27,0.758385179,TSLA
3/28/2017,15:12:32,-0.705579898,TSLA
3/28/2017,15:12:51,-0.096361093,AAPL
3/28/2017,15:13:31,0.170022457,AAPL
3/28/2017,15:13:38,0.934753806,AAPL
3/28/2017,15:13:43,0.190884609,AAPL
3/28/2017,15:13:52,0.965613822,AAPL
3/28/2017,15:13:53,0.995240599,TSLA
