ID,Symbol,Date,CreateTime,Body,Sentiment
81817093,TWTR,2017-05-02,2017-05-02T19:03:40Z,b'$TWTR Happy to pay monthly fee for ad-free vs. blocking corpbots.Therein the problem',None
81817032,TWTR,2017-05-02,2017-05-02T19:03:25Z,b'long $TSLA $FB $BABA Short $TWTR $SNAP didn&#39;t even set a stop lose',None
81816950,TWTR,2017-05-02,2017-05-02T19:02:57Z,b'$TWTR MFI once again not budging# moronic retail! No bueno!',None
81816538,TWTR,2017-05-02,2017-05-02T19:00:36Z,b'$TWTR Shorts = &quot;WINNING!&quot;',Bearish
81816517,TWTR,2017-05-02,2017-05-02T19:00:32Z,b'$TWTR sold 120 jan 2019 $13 calls at $7.05# made $50k# will reload in the mid $17s. Thanks shorts for letting me take ur money! Lol!',Bullish
81816453,TWTR,2017-05-02,2017-05-02T19:00:10Z,b'$TWTR the same id*ots said sell FB when it was trading around $30 # now came out and say sell TWTR !!! At this level ???',Bullish
81816450,TWTR,2017-05-02,2017-05-02T19:00:10Z,b'$TWTR heavy volume. Seems like lot of sellers in it.',None
81816428,TWTR,2017-05-02,2017-05-02T19:00:01Z,b'$TWTR Here&#39;s the thing. It&#39;s on the mend n no 1 wants left out. So on any dip# you&#39;re gonna see buyers stepin in. Maybe u# me# or Mark Cuban',Bullish
81816426,TWTR,2017-05-02,2017-05-02T19:00:01Z,b'$TWTR learn how to make $ no matter which way the market moves...',None
81816183,TWTR,2017-05-02,2017-05-02T18:58:36Z,b'$TWTR go on shorts do it.. so longs can smash you again! Just amateur',None
81816122,TWTR,2017-05-02,2017-05-02T18:58:13Z,b'$AAPL Apple should buy $TWTR  and get into the advertising business to supplement the services division before iphone cycle goes to declines',None
81815883,TWTR,2017-05-02,2017-05-02T18:56:37Z,b'$TWTR short... short... short....',None
81815756,TWTR,2017-05-02,2017-05-02T18:55:59Z,b'$TWTR Thank You Mark Cuban ?',Bullish
81815292,TWTR,2017-05-02,2017-05-02T18:53:39Z,b'$TWTR all aboard... $17 coming',None
81815138,TWTR,2017-05-02,2017-05-02T18:52:47Z,b'$TWTR any shorts opening up new positions here after being stopped out back on February 8th will regret it',None
81814519,TWTR,2017-05-02,2017-05-02T18:49:17Z,b'$TWTR Nose bleed area above upper Bollinger on all charts.  WAAAAAY overbought.  Longs in deep trouble.  Tweet your friends to sell.',Bearish
81814162,TWTR,2017-05-02,2017-05-02T18:47:12Z,b'$TWTR shorts are getting ready.....',None
81813888,TWTR,2017-05-02,2017-05-02T18:45:42Z,b'$TWTR - http://www.trade-ideas.com/ticky/ticky.html?symbol=TWTR - High RSI# Bollinger# MACD# Volume# and the kitchen sink! - All filters satisfied.',None
81813786,TWTR,2017-05-02,2017-05-02T18:45:00Z,b'Make trades with us live: http://hotstockpicks.net\n\nWatching $AMD $AAPL $UWT $ANGI $ARRY $MOH $EXEL $AUPH $THC $TWTR',Bullish
81813612,TWTR,2017-05-02,2017-05-02T18:44:00Z,b'$TWTR Buying another 5k on any dip from here.',Bullish
81813382,TWTR,2017-05-02,2017-05-02T18:42:41Z,b'$TWTR hi',None
81813143,TWTR,2017-05-02,2017-05-02T18:41:24Z,b'$TWTR surely must be $18.50',None
81812969,TWTR,2017-05-02,2017-05-02T18:40:27Z,b'$TWTR will fall to 12-13',None
81812813,TWTR,2017-05-02,2017-05-02T18:39:33Z,b'$TWTR is this a joke? &quot;Twitter&#39;s buy rating reiterated at Drexel Hamilton. $185.00 PT. &quot; ?',None
81812462,TWTR,2017-05-02,2017-05-02T18:37:31Z,b'Change in character for $TWTR# Cuban gives a bump http://ibankcoin.com/rcblog/2017/05/02/mark-cuban-is-buying-twitter-shares-spike/',Bullish
81812416,TWTR,2017-05-02,2017-05-02T18:37:15Z,b'$TWTR market is keeping this down',Bullish
81812382,TWTR,2017-05-02,2017-05-02T18:37:03Z,b'$TWTR started small position at 18.30',None
81812160,TWTR,2017-05-02,2017-05-02T18:35:37Z,b'$TWTR uhh does that say $185 or did they mean $18.50# sh1t...',None
81811542,TWTR,2017-05-02,2017-05-02T18:31:50Z,b'$TWTR',Bullish
81811479,TWTR,2017-05-02,2017-05-02T18:31:32Z,b'$TWTR the shorts that was caught this morning will cover soon in power hour. We may get lucky and see run attempt to $20.',Bullish
81811378,TWTR,2017-05-02,2017-05-02T18:30:58Z,b'Twitter&#39;s buy rating reiterated at Drexel Hamilton. $185.00 PT. http://www.marketbeat.com/r/812029 $TWTR',None
81811349,TWTR,2017-05-02,2017-05-02T18:30:49Z,b'$TWTR another Guru short who has a flock of idiots that pay him and he f*cked up!',None
